feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
heart_rate_std,33.92144748953259,1.1679244975761512e-34,0.1364498930574789,49,17,33,0.012663980989906967,15,0.0,0.2518830041230337,0.06273595037700415,0.10487298483334595,18
rr_std_ms,265.5429917698181,1.5530028931125772e-277,0.1415693236706539,17,16,16,0.009562805534447497,16,0.0,0.26133334177703793,0.047373072808003805,0.10290213819501391,19
age,803.4493823567109,0.0,0.11103932053595456,15,21,18,0.01383063127503737,14,0.0,0.20497573875411484,0.06851540586209932,0.09116371487207138,20
comp_rr_hjorth_activity,89.47801957443221,1.2740321118532204e-93,0.12348935263553296,37,18,25,0.008137273948584626,18,0.0,0.22795817880153213,0.04031114821234772,0.08942310900462662,21
rmssd,217.04942194471045,1.924660061119814e-227,0.11081765130662635,20,22,19,0.005251278781408801,19,0.0,0.2045665430401885,0.02601424980887448,0.076860264283021,22
wav_wavelet_coef_kurtosis,193.09431347432343,1.5545248046142556e-202,0.08742200090630181,23,23,22,0.0046320722274074515,20,0.0,0.16137877224608743,0.02294676955318675,0.06144184726642473,23
quality_score,98.95632070644157,1.173345956981642e-103,0.041200390426469724,35,24,27,0.001813032738898976,23,0.0,0.07605486438373038,0.008981562119376308,0.028345475501035566,24
wav_wavelet_coef_mean_abs,233.99810361820272,5.3282255541956885e-245,0.03967578689139284,18,25,20,0.0014089636010390513,25,0.0,0.07324048534753726,0.006979848645401382,0.026740111330979546,25
snr_db,105.35095935664846,2.0225930394465088e-110,0.03600096852885004,32,26,26,0.0015951021228707621,24,0.0,0.06645686486955087,0.007901958136736689,0.024786274335429185,26
wav_wavelet_qrs_peak,99.86404265444463,1.2852176752173304e-104,0.031356947317298545,34,27,29,0.0020514171295416216,22,0.0,0.0578841207818444,0.010162491821807838,0.022682204201217412,27
comp_sig_hjorth_activity,60.07171461039762,2.023399008356114e-62,0.028225189895042302,40,28,35,0.0009368899462913834,31,0.0,0.05210297687599893,0.004641248374116684,0.018914741750038537,28
comp_sig_lzma_ratio,213.24983527458264,1.6898338798979653e-223,0.027724998345903806,21,29,23,0.0006200250605550425,44,0.0,0.05117963610078201,0.0030715350459291787,0.018083723715570394,29
comp_sig_kolmogorov_estimate,213.24983527458264,1.6898338798979653e-223,0.02709761729647031,21,30,24,0.0007162191222962349,39,0.0,0.05002150676905287,0.003548069706615072,0.017856525491889316,30
wav_wavelet_qrs_variability,101.68090383864262,1.5379332494887799e-106,0.025237858710109418,33,31,32,0.00123409747481131,26,0.0,0.04658844010128451,0.006113581345538426,0.01756734048227431,31
wav_wavelet_coef_std,126.5920836272378,7.673619874656576e-133,0.024488795087718618,29,32,29,0.0007538453048385081,36,0.0,0.04520568785971553,0.0037344656213538457,0.01631338449368979,32
comp_sig_gzip_ratio,157.08999744766103,6.692502034335102e-165,0.02306556013377481,28,33,29,0.0007690023607663649,35,0.0,0.04257843262528847,0.003809551987111134,0.015462661537466537,33
wav_wavelet_coef_min,80.10579065001839,1.0966157601106418e-83,0.022806805200421554,38,34,37,0.0007173693397534471,38,0.0,0.04210077765257832,0.003553767755702159,0.01521818180276016,34
