feature,f_statistic,p_value,max_cohens_d,is_significant,n_significant_pairs,used_nonparametric
comp_sig_compression_ratio_mean,707.206943639157,9.58752236977881e-152,0.5779858948737081,True,8,True
comp_sig_gzip_ratio,689.4995558174094,6.54388602618515e-148,0.5927305100539636,True,8,True
morph_r_s_ratio,635.3765786467212,3.412676222381705e-136,0.37974056919738264,True,9,True
morph_qrs_area_mv_ms,617.4570988375381,2.581521937544823e-132,0.5671056850612444,True,10,True
morph_t_area_mv_ms,593.1367181971306,4.7378890516248006e-127,0.422881168653071,True,7,True
comp_sig_kolmogorov_estimate,586.8467348343105,1.0884862437688043e-125,0.5481742042468171,True,8,True
comp_sig_lzma_ratio,586.8467348343105,1.0884862437688043e-125,0.5481742042468171,True,8,True
hrv_hrv_spectral_n_intervals,585.7413385107835,1.8881681739206272e-125,0.48540215151352495,True,7,True
rr_mean_ms,550.6333109248386,7.46281748111566e-118,0.4012443397462827,True,7,True
sex,549.6166609879072,1.2384140339208072e-117,0.40592842460092604,True,8,True
heart_rate_bpm,538.8120484668303,2.6944283956890744e-115,0.502731333526849,True,7,True
wav_wavelet_energy_d1,521.5986296364863,1.4264783868363814e-111,0.35436668675645183,True,8,True
n_beats,469.429257814155,2.7360144088384473e-100,0.4781204576861132,True,8,True
wav_wavelet_qrs_energy_ratio,465.22941593950964,2.2141961990716707e-99,0.21015067201800738,True,9,True
wav_wavelet_energy_d3,465.22941593950964,2.2141961990716707e-99,0.21015067201800738,True,9,True
morph_r_amplitude_mv,419.4021772691936,1.7850119848697623e-89,0.7480310731562462,True,9,True
comp_rr_shannon_entropy,338.8309568531293,4.521698579212212e-72,0.3848403245076146,True,7,True
comp_sig_hjorth_mobility,303.38725332585454,2.0142617727892023e-64,0.27947082113702176,True,9,True
comp_sig_lempel_ziv_complexity,260.53689301715514,3.4937583311962696e-55,0.2306686777373161,True,8,True
morph_t_duration_ms,257.7379199622247,1.4009645763698396e-54,0.27604747181199824,True,8,True
morph_t_r_ratio,214.64622263693002,2.6600273332971746e-45,0.19796487251312345,True,8,True
wav_wavelet_energy_d2,195.0665825963515,4.3192941097223526e-41,0.35141461271720686,True,8,True
wav_wavelet_energy_d6,175.12092658132315,8.321734193906896e-37,0.3458314734588491,True,8,True
comp_rr_approx_entropy,153.55469536666712,3.522692177312782e-32,0.20129603667769813,True,4,True
wav_wavelet_coef_kurtosis,136.86879866385425,1.3209691664802715e-28,0.3239984021864433,True,8,True
morph_p_duration_ms,125.55037206374674,3.481247014150881e-26,0.16255847698787895,True,3,True
morph_s_amplitude_mv,112.1592626332207,2.5200359209732014e-23,0.3702713868458131,True,6,True
morph_q_amplitude_mv,107.11374845493782,3.0018883472812753e-22,0.18906666694429855,True,7,True
pnn50,101.20844361965348,5.439399290383342e-21,0.34395088361219395,True,5,True
morph_qrs_t_area_ratio,95.50886378748491,8.882349186894057e-20,0.10404452118556105,True,4,True
morph_p_amplitude_mv,85.71136236087847,1.0716180154774307e-17,0.3353761234981759,True,3,True
detection_confidence,84.91616132698167,1.5803758965829977e-17,0.39278803906470594,True,6,True
comp_rr_permutation_entropy,47.71207341036075,1.0836443736133218e-09,0.13593399622747948,True,3,True
morph_morphology_confidence,40.51285231474136,3.3902845083640284e-08,0.13888150738907143,True,5,True
comp_rr_lempel_ziv_complexity,37.19532024861807,1.6418862023686965e-07,0.13146214292956582,True,4,True
heart_rate_std,34.03686078869228,7.323295279472239e-07,0.5579367721570021,True,3,True
morph_st_level_mv,33.022504857029254,1.181874573615447e-06,0.04829939795719823,True,5,True
morph_qrs_duration_ms,23.664822490052376,9.32303592752495e-05,0.10067424592625845,True,3,True
comp_rr_hjorth_activity,21.084882266375644,0.00030463069294968344,0.31544976602956126,True,2,True
rr_std_ms,17.43478534967568,0.0015908682610255426,0.3012324246195418,True,2,True
rmssd,13.660918420261817,0.008459729716136427,0.3182938138555463,True,1,True
hrv_hrv_spectral_duration_sec,13.193659306405607,0.010367300137336265,0.1182713220480507,True,2,True
comp_rr_hjorth_complexity,10.245823573379312,0.036484271788176426,0.04568036347239649,True,0,True
comp_rr_sample_entropy,7.972924027538065,0.09257507234090183,0.4025370565705404,False,0,True
comp_rr_hjorth_mobility,4.629107321379706,0.32751196558300183,0.056018261856105714,False,0,True
hrv_hf_power_ms2,,,0.0,False,0,False
