feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
wav_wavelet_coef_skewness,120.19914041267343,7.666961694693671e-101,0.02195276599538909,21,45,33,0.01264655261949406,24,0.13567762833865146,0.1358043345458441,0.09399572114654633,0.12182589467701395,32
detection_confidence,61.644420992762186,1.1324022753874086e-51,0.03298770031316778,44,28,40,0.012100153594561278,25,0.06958260110590193,0.20406871235125565,0.0899346009403046,0.12119530479915407,33
morph_t_area_mv_ms,90.76997562368007,3.234595436150799e-76,0.028087382837493458,34,33,34,0.011192800020010026,28,0.10245876114168628,0.1737543385731587,0.08319067979903048,0.11980125983795849,34
comp_sig_hjorth_mobility,10.022406004326205,4.267371528429231e-08,0.043479341046889,58,19,42,0.010369773539316897,30,0.011313028298251166,0.26897216408195534,0.07707352124182759,0.11911957120734469,35
wav_wavelet_energy_approx,120.29199884143532,6.41539071221527e-101,0.02449432660192752,20,39,26,0.007686629128875895,45,0.13578244449076712,0.15152695223107696,0.05713100398926295,0.11481346690370235,36
comp_sig_gzip_ratio,123.38970472889956,1.6838434050127009e-103,0.022824565418364973,15,41,25,0.008112908379449718,42,0.13927905342373345,0.1411974654396712,0.060299331894350085,0.11359195025258491,37
wav_wavelet_energy_d5,112.15884888178206,3.9238474821858367e-94,0.02206046874013845,27,44,38,0.008418444614774258,41,0.12660195872639468,0.13647060592060023,0.0625702352495824,0.10854759996552577,38
comp_sig_compression_ratio_mean,120.2960513414838,6.365686977910437e-101,0.02177562767676111,19,46,31,0.007227092667672771,49,0.135787018846237,0.1347085204015629,0.05371549129077963,0.10807034351285984,39
comp_sig_kolmogorov_estimate,100.73364087206735,1.4181045664726605e-84,0.022720410736805974,29,42,38,0.00659744409609274,52,0.113705484419575,0.14055314311500722,0.04903561738875449,0.10109808164111224,40
hrv_hrv_spectral_n_intervals,99.86627038190557,7.559218060447673e-84,0.02562836331368734,31,37,35,0.0041721491474199825,62,0.11272641942300304,0.15854233703604628,0.031009570721920475,0.1007594423936566,41
morph_t_duration_ms,64.75278809704979,2.675537247327938e-54,0.026771041454362265,42,36,43,0.007796431934783352,43,0.07309124414001765,0.16561117950113857,0.0579471152439045,0.09888317962835358,42
comp_rr_hjorth_activity,49.807690010723,1.1703600020003131e-41,0.026988481510697326,47,35,46,0.009469986134544289,35,0.05622161049139348,0.1669563085003907,0.07038583578833804,0.0978545849267074,43
n_beats,112.50618446550598,2.0118139401547504e-94,0.018039655713530056,26,52,43,0.006447948046200842,56,0.12699402199802448,0.11159702791560058,0.04792448541145274,0.0955051784416926,44
sex,94.11300276580079,5.048602411779961e-79,0.025202881387220266,33,38,38,0.0029499377394102445,64,0.10623228225471128,0.15591021815420325,0.02192546328600747,0.09468932123164066,45
wav_wavelet_energy_d1,62.821400511391566,1.1462247307045032e-52,0.02283043780555971,43,40,47,0.009352998653599169,37,0.07091114463077697,0.14123379323705879,0.06951632431217464,0.0938870873933368,46
comp_sig_lzma_ratio,100.73364087206735,1.4181045664726605e-84,0.018123420347717634,29,51,45,0.006573899911749634,53,0.113705484419575,0.11211521320517683,0.048860624831278704,0.09156044081867683,47
wav_wavelet_coef_kurtosis,17.05958692461059,5.821814025282983e-14,0.022162177677185646,55,43,48,0.009883317182450425,32,0.019256413036080156,0.13709979836568714,0.07345792595307649,0.0766047124516146,48
wav_wavelet_energy_d3,15.238269761720607,1.957692539724786e-12,0.020608232000075333,56,47,51,0.00943093925722807,36,0.017200558125096622,0.12748677016483617,0.0700956191971224,0.0715943158290184,49
wav_wavelet_qrs_energy_ratio,15.238269761720607,1.957692539724786e-12,0.020608232000075333,56,47,51,0.008695429959280297,39,0.017200558125096622,0.12748677016483617,0.06462893361483786,0.06977208730159022,50
wav_wavelet_energy_d6,25.040615682782565,1.096392773732451e-20,0.015580267222642608,51,55,54,0.009071808647447699,38,0.02826518838916225,0.09638274387208509,0.06742637472649327,0.06402476899591354,51
morph_qrs_t_area_ratio,7.068992017451925,1.1115352628371772e-05,0.016242997115917923,60,53,60,0.009546593941188513,34,0.007979292267647625,0.1004825275694468,0.07095522463663803,0.059805681491244156,52
comp_rr_approx_entropy,18.384371677980553,4.4888999671054485e-15,0.019497318102109418,54,49,51,0.004451811832901683,61,0.020751795222502933,0.12061442785122165,0.033088168470299106,0.058151463848007894,53
comp_rr_shannon_entropy,57.817709993736216,1.9479263747107267e-48,0.008921298595743643,45,57,49,0.006502250248604031,55,0.06526311037657778,0.055188991643887166,0.04832808747031467,0.0562600631635932,54
wav_wavelet_energy_d2,53.47772103616873,9.151941666717757e-45,0.008088455057160271,46,58,53,0.007017571503502478,50,0.060364244987382305,0.050036849879069145,0.05215822161308951,0.054186438826513646,55
comp_rr_lempel_ziv_complexity,4.830568983190434,0.0006832921428066383,0.019482089399170732,62,50,58,0.003773328604432696,63,0.005452619219366945,0.12052021995646164,0.028045330136042386,0.051339389770623654,56
morph_qrs_duration_ms,7.087200150625741,1.0744444145016105e-05,0.013999456039494262,59,56,61,0.007795023798428588,44,0.007999845129481879,0.08660352011435085,0.05793664924608509,0.050846671496639274,57
comp_rr_permutation_entropy,5.907487137667862,9.562023199460702e-05,0.015811545365253643,61,54,61,0.005357987241381701,60,0.006668216108102508,0.09781347812483883,0.03982333287186493,0.048101675701602085,58
morph_q_amplitude_mv,19.87173313947604,2.515761062076542e-16,0.0070701084110389445,53,59,58,0.010016493142976762,31,0.02243068972112566,0.04373714766192957,0.07444775858380948,0.046871865322288236,59
morph_p_duration_ms,31.05360119815328,8.989603120256983e-26,0.004199782599264346,50,60,55,0.005828875327565735,59,0.03505248829130152,0.025980720664088734,0.043323216719417065,0.034785475224935775,60
comp_sig_lempel_ziv_complexity,33.6181316755177,6.0560864048848705e-28,0.002773097942358138,49,62,56,0.006082922569324963,58,0.037947262844400635,0.017154955360590845,0.04521142723914722,0.033437881814712904,61
morph_st_level_mv,1.597218274475073,0.17200036239047903,0.003127729950143987,64,61,63,0.007412407681491073,46,0.0018028979797685995,0.019348782044487048,0.05509284833718002,0.02541484278714522,62
comp_rr_hjorth_complexity,2.2278965328604,0.0634103236342329,0.0,63,65,64,0.006763939405328312,51,0.0025147910103567807,0.0,0.05027309665523786,0.017595962555198214,63
morph_morphology_confidence,35.93293691925462,6.629595003597311e-30,0.00033034720411428964,48,63,56,0.0009446632808466829,65,0.04056015412180768,0.002043595883691562,0.007021226178822376,0.016541658728107207,64
comp_rr_hjorth_mobility,1.4282372435803241,0.22170382692349633,2.5321188520166515e-05,65,64,65,0.006434232367226136,57,0.001612156636466925,0.00015664209045973264,0.04782254339017378,0.01653044737236681,65
