feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
comp_rr_hjorth_activity,37.89997763544625,8.804229936919036e-39,0.041105602074783754,46,34,43,0.0022005132547462825,25,0.0,0.07327901797318058,0.012014360833357664,0.028431126268846082,28
rmssd,43.19116263607566,2.283038045586262e-44,0.0433083658926634,45,28,35,0.0013723704566498288,34,0.0,0.07720588830845528,0.0074928673243242734,0.02823291854425985,29
wav_wavelet_coef_mean_abs,141.90208195096898,1.2211938046472277e-147,0.042525432761715276,22,30,23,0.0015099610633272675,31,0.0,0.07581015225111283,0.008244084428941957,0.0280180788933516,30
comp_rr_lempel_ziv_complexity,4.7189651159231225,0.0002615306137768561,0.045285061249578096,52,24,37,0.00034436306652402835,56,0.0,0.08072974606203659,0.0018801532460563405,0.027536633102697643,31
comp_sig_hjorth_complexity,160.22270197725948,1.6237673549597615e-166,0.04121908878471592,21,33,25,0.001465915726759932,33,0.0,0.0734813308998154,0.00800360572907261,0.02716164554296267,32
comp_rr_shannon_entropy,98.31814462744279,2.418351572144504e-102,0.041700635938493935,31,31,29,0.0009529874788680341,45,0.0,0.07433978572727262,0.005203120415701607,0.026514302047658075,33
comp_rr_approx_entropy,26.45886708545514,1.0188949456656672e-26,0.04259944149437844,48,29,38,0.0005148213617312198,55,0.0,0.07594208772893724,0.002810821335076475,0.02625096968800457,34
comp_sig_hjorth_mobility,3.823674519393715,0.001834892416220639,0.03757404770997841,53,36,46,0.0016561818907646676,28,0.0,0.06698331075300609,0.009042420807237302,0.02534191052008113,35
comp_rr_permutation_entropy,9.313751310794178,7.176202432921278e-09,0.04025550773236919,51,35,45,0.0005487675123502848,54,0.0,0.07176355352423847,0.0029961605060909112,0.02491990467677646,36
wav_wavelet_energy_d4,109.51712127458522,4.934535271067674e-114,0.03359049350112997,28,37,30,0.0015171438756124633,30,0.0,0.05988182273839757,0.008283301142772917,0.022721707960390164,37
comp_sig_bzip2_ratio,114.18924298203231,6.705143489647943e-119,0.02979572583307144,27,38,30,0.0013174585824806343,35,0.0,0.05311688477092059,0.007193059509542125,0.02010331476015424,38
wav_wavelet_coef_kurtosis,13.574009014132328,3.0447197188802617e-13,0.026190682240591734,49,40,46,0.0015328947811308739,29,0.0,0.046690168195238135,0.008369297926451517,0.018353155373896552,39
comp_sig_gzip_ratio,104.65480388497264,5.816421569592061e-109,0.02633127499503285,29,39,33,0.0013029203468583562,36,0.0,0.04694080310774582,0.007113683660171673,0.018018162255972497,40
wav_wavelet_energy_entropy,75.14694758635387,4.735692789896257e-78,0.025663007036525798,37,41,40,0.00105493101239294,42,0.0,0.045749480823906084,0.005759711653565762,0.01716973082582395,41
