feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
rmssd,20.643948918567617,1.5355302513844565e-20,0.050189240282317193,37,23,27,0.002795406119726967,20,0.0,0.074041139095612,0.013427715286422387,0.029156284794011462,23
wav_wavelet_coef_kurtosis,16.858457942142945,1.3143552970970896e-16,0.035258026074544535,41,24,35,0.002158410536073675,22,0.0,0.052014025279873,0.010367911104252146,0.020793978794708384,24
comp_sig_kolmogorov_estimate,56.059775019408924,2.0222797605259185e-57,0.03049978937646003,19,26,19,0.0015072551127079197,32,0.0,0.0449944875616094,0.007240090223249284,0.017411525928286226,25
comp_sig_lzma_ratio,56.059775019408924,2.0222797605259185e-57,0.031157520971677677,19,25,18,0.001162731395441344,44,0.0,0.04596479905178444,0.005585172766988113,0.01718332393959085,26
comp_sig_bzip2_ratio,41.03788522932534,8.24518802618864e-42,0.028998263705292793,29,27,24,0.0013586936397558796,36,0.0,0.04277937789967465,0.006526476145046445,0.016435284681573698,27
wav_wavelet_qrs_peak,38.16063239630101,8.226670292171202e-39,0.027220778731907647,31,29,27,0.001754293731970119,25,0.0,0.04015716223323951,0.008426738639304017,0.016194633624181175,28
snr_db,42.61336572250745,1.883897334846072e-43,0.02799851001698217,26,28,22,0.0014991638886659323,33,0.0,0.0413045019804303,0.007201224080692125,0.016168575353707474,29
comp_sig_hjorth_complexity,57.35975221407375,9.107831036092793e-59,0.02474159404775289,18,33,20,0.002347591602393427,21,0.0,0.03649977158515101,0.011276641137500957,0.015925470907550657,30
comp_sig_compression_ratio_mean,53.912450943087514,3.4008294725751005e-55,0.025701087214084595,21,32,21,0.0015293171034265675,31,0.0,0.03791525360061967,0.007346064853529707,0.015087106151383124,31
wav_wavelet_energy_d3,9.131704177062758,1.1314404150729418e-08,0.0260817583085049,48,30,42,0.001287441895567645,39,0.0,0.03847683455488613,0.006184218850884815,0.014887017801923648,32
quality_score,38.35441215517258,5.166244849542507e-39,0.024099874481610772,30,34,32,0.0015437179999631958,30,0.0,0.03555308166934759,0.0074152394672641715,0.01432277371220392,33
wav_wavelet_coef_max,34.24311502158021,1.003744644793164e-34,0.02380299141674813,33,35,36,0.0016305584531440308,28,0.0,0.035115108108142466,0.007832377024639927,0.01431582837759413,34
wav_wavelet_qrs_energy_ratio,9.131704177062758,1.1314404150729418e-08,0.0260817583085049,48,30,42,0.0009201481435285747,50,0.0,0.03847683455488613,0.004419925679292213,0.014298920078059447,35
wav_wavelet_energy_approx,47.21184372848881,3.088276723645055e-48,0.023537801884975007,24,36,27,0.0014521668657017622,35,0.0,0.03472389009212416,0.0069754741836667985,0.01389978809193032,36
comp_sig_hjorth_mobility,8.62544446503561,3.671148999124805e-08,0.02209647233860723,50,37,46,0.0012919840774808463,38,0.0,0.032597584118474444,0.006206037192441411,0.012934540436971953,37
wav_wavelet_energy_d4,36.48473221037417,4.602587631914497e-37,0.02108735479016488,32,38,40,0.0012784727739141577,41,0.0,0.031108894264877136,0.0061411357328067595,0.012416676665894633,38
wav_wavelet_energy_d5,45.77808347344841,9.570237946427398e-47,0.019155699483794475,25,39,32,0.0018013224079598297,24,0.0,0.02825924046618957,0.0086526405814336,0.012303960349207723,39
wav_wavelet_energy_concentration,41.3459151033467,3.937970710734084e-42,0.017823266537662974,27,42,38,0.0017343380876130407,26,0.0,0.026293583035529935,0.008330881830201045,0.011541488288576993,40
age,48.630252016420386,1.0357464699089571e-49,0.01628641762222305,23,45,36,0.00199862612853745,23,0.0,0.024026363135867125,0.009600387732079064,0.011208916955982064,41
wav_wavelet_qrs_variability,20.120263643593656,5.384365671251658e-20,0.017946962908967468,38,40,42,0.0014561387037893532,34,0.0,0.02647606478225216,0.006994552882331574,0.011156872554861245,42
wav_wavelet_energy_entropy,41.34591510332701,3.9379707109193186e-42,0.017832647752717534,28,41,38,0.0013222668602218943,37,0.0,0.026307422572546903,0.0063515003442381505,0.01088630763892835,43
wav_wavelet_coef_mean_abs,14.088422860707905,9.620614522148954e-14,0.016961961876841514,44,43,46,0.0012054986692623428,42,0.0,0.025022952561012692,0.005790605091254802,0.010271185884089165,44
wav_wavelet_coef_std,20.859058760502222,9.170253696742767e-21,0.01695658011894441,36,44,44,0.0011995722565952512,43,0.0,0.025015013180324782,0.00576213760618994,0.010259050262171573,45
comp_sig_gzip_ratio,57.9143647800239,2.4278701047197783e-59,0.013095335692433263,17,47,32,0.001553019919615607,29,0.0,0.01931875370205182,0.007459921178385972,0.008926224960145931,46
comp_sig_hjorth_activity,10.566720158739903,3.9471543298795806e-10,0.01374304964373918,47,46,49,0.0011335365218325393,45,0.0,0.020274286770355834,0.00544493537969914,0.008573074050018325,47
wav_wavelet_coef_min,16.360782928772913,4.308997561348629e-16,0.00964047503241483,42,48,48,0.0011222636146157124,46,0.0,0.014222007522084091,0.005390786042509955,0.006537597854864682,48
wav_wavelet_coef_skewness,26.032725290499364,3.716002305586973e-26,0.006845542403648874,35,50,45,0.0016572461569401692,27,0.0,0.010098813101023403,0.007960571237886451,0.0060197947796366185,49
wav_wavelet_total_energy,7.425518256336631,5.867455018589727e-07,0.009018434756971061,51,49,51,0.000847757737727482,55,0.0,0.013304349269077387,0.00407219883140916,0.0057921827001621825,50
wav_wavelet_energy_d1,4.348385140580245,0.0005930508243628667,0.0037292988686332684,53,51,52,0.0009116992611768161,51,0.0,0.005501608207424255,0.004379341527348318,0.0032936499115908575,51
wav_wavelet_energy_d6,7.228140114113321,9.229695008185084e-07,0.0014504918908979647,52,52,52,0.0009463951949295449,48,0.0,0.0021398226242701573,0.004546003221597495,0.0022286086152892176,52
comp_rr_hjorth_complexity,1.9762823328168597,0.07879794088072224,0.0013143148690653028,55,53,54,0.0008950793551314408,53,0.0,0.0019389289315499135,0.00429950791573478,0.0020794789490948978,53
comp_rr_hjorth_mobility,2.101804070451667,0.062154841770782066,0.0,54,56,55,0.0010681354578823098,47,0.0,0.0,0.0051307817903671685,0.0017102605967890562,54
wav_wavelet_energy_d2,1.7193181165603943,0.12642168720358238,0.0,57,56,57,0.000944072467516781,49,0.0,0.0,0.0045348460154346895,0.0015116153384782298,55
comp_sig_lempel_ziv_complexity,1.852767991831416,0.0991312355535942,0.0,56,56,56,0.0009114835291096571,52,0.0,0.0,0.004378305259753595,0.0014594350865845317,56
sex,12.058092829835381,1.17862967909146e-11,0.0011578377325736078,45,54,50,0.00012456810739210376,57,0.0,0.0017080877121352699,0.0005983621013153645,0.0007688166044835448,57
